x,r,u_x,u_r,Re
-4.800000e-02,6.499400e-03,0.000000e+00,-0.000000e+00,2000
-4.800000e-02,6.386700e-03,0.000000e+00,-0.000000e+00,2000
-4.800000e-02,6.330500e-03,0.000000e+00,-0.000000e+00,2000
-4.800000e-02,6.315000e-03,0.000000e+00,-0.000000e+00,2000
-4.800000e-02,6.199200e-03,0.000000e+00,-0.000000e+00,2000
-4.800000e-02,6.130500e-03,0.000000e+00,-0.000000e+00,2000
-4.800000e-02,6.112100e-03,0.000000e+00,-0.000000e+00,2000
-4.800000e-02,6.101100e-03,0.000000e+00,-0.000000e+00,2000
-4.800000e-02,6.030000e-03,0.000000e+00,-0.000000e+00,2000
-4.800000e-02,6.011700e-03,0.000000e+00,-0.000000e+00,2000
-4.800000e-02,6.000000e-03,5.446000e-03,1.586050e-03,2000
-4.800000e-02,5.946100e-03,0.000000e+00,-0.000000e+00,2000
-4.800000e-02,5.920000e-03,1.776430e-02,-4.220770e-04,2000
-4.800000e-02,5.898900e-03,1.206270e-02,2.837000e-03,2000
-4.800000e-02,5.893700e-03,1.238110e-02,1.068740e-03,2000
-4.800000e-02,5.824200e-03,2.170900e-02,-2.468220e-04,2000
-4.800000e-02,5.810000e-03,2.456190e-02,-6.664380e-05,2000
-4.800000e-02,5.797900e-03,1.966520e-02,2.933720e-03,2000
-4.800000e-02,5.761700e-03,1.811500e-02,-0.000000e+00,2000
-4.800000e-02,5.700000e-03,3.558040e-02,-8.885830e-05,2000
-4.800000e-02,5.696800e-03,3.223860e-02,3.392470e-04,2000
-4.800000e-02,5.675200e-03,3.533900e-02,-4.728720e-04,2000
-4.800000e-02,5.636700e-03,3.925510e-02,-1.612970e-04,2000
-4.800000e-02,5.595800e-03,4.369630e-02,8.784500e-04,2000
-4.800000e-02,5.590000e-03,4.776140e-02,-1.036680e-04,2000
-4.800000e-02,5.577200e-03,3.704320e-02,-0.000000e+00,2000
-4.800000e-02,5.494700e-03,5.412540e-02,2.638150e-03,2000
-4.800000e-02,5.480000e-03,6.007560e-02,-8.885830e-05,2000
-4.800000e-02,5.456800e-03,5.966660e-02,-2.218920e-04,2000
-4.800000e-02,5.449200e-03,5.898960e-02,-2.963360e-04,2000
-4.800000e-02,5.393700e-03,6.439600e-02,3.664060e-03,2000
-4.800000e-02,5.392800e-03,5.830620e-02,-0.000000e+00,2000
-4.800000e-02,5.370000e-03,7.204190e-02,-5.183400e-05,2000
-4.800000e-02,5.292600e-03,7.752300e-02,1.667540e-03,2000
-4.800000e-02,5.261700e-03,7.906240e-02,1.117820e-04,2000
-4.800000e-02,5.260000e-03,8.362310e-02,9.626320e-05,2000
-4.800000e-02,5.238400e-03,8.324040e-02,5.293830e-04,2000
-4.800000e-02,5.208300e-03,7.765510e-02,-0.000000e+00,2000
-4.800000e-02,5.191600e-03,8.798330e-02,5.071240e-04,2000
-4.800000e-02,5.150000e-03,9.521910e-02,1.555020e-04,2000
-4.800000e-02,5.090500e-03,9.762880e-02,1.587050e-03,2000
-4.800000e-02,5.074200e-03,9.844880e-02,1.582960e-04,2000
-4.800000e-02,5.040000e-03,1.063710e-01,2.221460e-04,2000
-4.800000e-02,5.023900e-03,9.703270e-02,-0.000000e+00,2000
-4.800000e-02,5.019900e-03,1.057990e-01,1.422770e-03,2000
-4.800000e-02,4.989500e-03,1.072320e-01,2.915860e-03,2000
-4.800000e-02,4.930000e-03,1.173820e-01,2.517650e-04,2000
-4.800000e-02,4.888400e-03,1.181930e-01,3.351360e-03,2000
-4.800000e-02,4.886700e-03,1.158670e-01,-3.375980e-05,2000
-4.800000e-02,4.839500e-03,1.152130e-01,-0.000000e+00,2000
-4.800000e-02,4.820000e-03,1.278820e-01,2.887900e-04,2000
-4.800000e-02,4.801500e-03,1.283240e-01,2.016140e-03,2000
-4.800000e-02,4.787400e-03,1.282240e-01,1.322230e-03,2000
-4.800000e-02,4.710000e-03,1.383300e-01,2.739800e-04,2000
-4.800000e-02,4.699200e-03,1.339260e-01,7.052040e-05,2000
-4.800000e-02,4.686300e-03,1.384740e-01,9.767230e-04,2000
-4.800000e-02,4.655000e-03,1.328870e-01,-0.000000e+00,2000
-4.800000e-02,4.600000e-03,1.485860e-01,3.184090e-04,2000
-4.800000e-02,4.585300e-03,1.470980e-01,2.044170e-03,2000
-4.800000e-02,4.583100e-03,1.498920e-01,2.414220e-03,2000
-4.800000e-02,4.511700e-03,1.509750e-01,-2.873330e-04,2000
-4.800000e-02,4.490000e-03,1.584490e-01,3.554330e-04,2000
-4.800000e-02,4.484200e-03,1.557940e-01,2.998290e-03,2000
-4.800000e-02,4.470600e-03,1.504390e-01,-0.000000e+00,2000
-4.800000e-02,4.383200e-03,1.644500e-01,3.898480e-03,2000
-4.800000e-02,4.380000e-03,1.680830e-01,3.776480e-04,2000
-4.800000e-02,4.364600e-03,1.704520e-01,3.222840e-03,2000
-4.800000e-02,4.324200e-03,1.666110e-01,-4.456290e-04,2000
-4.800000e-02,4.286200e-03,1.660120e-01,-0.000000e+00,2000
-4.800000e-02,4.282100e-03,1.756230e-01,2.503560e-03,2000
-4.800000e-02,4.270000e-03,1.774870e-01,3.924580e-04,2000
-4.800000e-02,4.181100e-03,1.841580e-01,1.239640e-03,2000
-4.800000e-02,4.160000e-03,1.865580e-01,4.220770e-04,2000
-4.800000e-02,4.146200e-03,1.893260e-01,3.606790e-03,2000
-4.800000e-02,4.136700e-03,1.826050e-01,-1.200350e-05,2000
-4.800000e-02,4.101700e-03,1.821710e-01,-0.000000e+00,2000
-4.800000e-02,4.080000e-03,1.916930e-01,1.605790e-03,2000
-4.800000e-02,4.060000e-03,1.954960e-01,5.035310e-04,2000
-4.800000e-02,3.978900e-03,1.991670e-01,2.603990e-03,2000
-4.800000e-02,3.950000e-03,2.041080e-01,5.701740e-04,2000
-4.800000e-02,3.949200e-03,1.969970e-01,-7.502180e-06,2000
-4.800000e-02,3.927800e-03,2.073150e-01,3.838650e-03,2000
-4.800000e-02,3.917300e-03,1.978420e-01,-0.000000e+00,2000
-4.800000e-02,3.877900e-03,2.061920e-01,3.249640e-03,2000
-4.800000e-02,3.840000e-03,2.122680e-01,5.479600e-04,2000
-4.800000e-02,3.776800e-03,2.130540e-01,3.686240e-03,2000
-4.800000e-02,3.761700e-03,2.098320e-01,-9.827850e-05,2000
-4.800000e-02,3.732800e-03,2.108410e-01,-0.000000e+00,2000
-4.800000e-02,3.730000e-03,2.203240e-01,5.849840e-04,2000
-4.800000e-02,3.709400e-03,2.242130e-01,3.912620e-03,2000
-4.800000e-02,3.675800e-03,2.216100e-01,3.238610e-03,2000
-4.800000e-02,3.620000e-03,2.282620e-01,6.146040e-04,2000
-4.800000e-02,3.574700e-03,2.300970e-01,1.845930e-03,2000
-4.800000e-02,3.574200e-03,2.237800e-01,-3.368480e-04,2000
-4.800000e-02,3.548400e-03,2.253630e-01,-0.000000e+00,2000
-4.800000e-02,3.510000e-03,2.360000e-01,6.368180e-04,2000
-4.800000e-02,3.490900e-03,2.396550e-01,3.650000e-03,2000
-4.800000e-02,3.473700e-03,2.375020e-01,1.445190e-03,2000
-4.800000e-02,3.400000e-03,2.434500e-01,6.146040e-04,2000
-4.800000e-02,3.386700e-03,2.368070e-01,-1.432920e-04,2000
-4.800000e-02,3.372600e-03,2.439120e-01,2.080030e-03,2000
-4.800000e-02,3.364000e-03,2.395830e-01,-0.000000e+00,2000
-4.800000e-02,3.290000e-03,2.505730e-01,5.923890e-04,2000
-4.800000e-02,3.272500e-03,2.546940e-01,3.599310e-03,2000
-4.800000e-02,3.271600e-03,2.503860e-01,2.569700e-03,2000
-4.800000e-02,3.199200e-03,2.476490e-01,-6.751960e-05,2000
-4.800000e-02,3.180000e-03,2.574450e-01,5.997940e-04,2000
-4.800000e-02,3.179500e-03,2.510560e-01,-0.000000e+00,2000
-4.800000e-02,3.170500e-03,2.559430e-01,3.035000e-03,2000
-4.800000e-02,3.070000e-03,2.643390e-01,6.071990e-04,2000
-4.800000e-02,3.069500e-03,2.616910e-01,3.702870e-03,2000
-4.800000e-02,3.054100e-03,2.683560e-01,3.929240e-03,2000
-4.800000e-02,3.011700e-03,2.589410e-01,-3.158420e-04,2000
-4.800000e-02,2.995100e-03,2.618760e-01,-0.000000e+00,2000
-4.800000e-02,2.968400e-03,2.679260e-01,3.557430e-03,2000
-4.800000e-02,2.960000e-03,2.708110e-01,5.849840e-04,2000
-4.800000e-02,2.867400e-03,2.757190e-01,2.769400e-03,2000
-4.800000e-02,2.850000e-03,2.770380e-01,6.220080e-04,2000
-4.800000e-02,2.835600e-03,2.806550e-01,4.163600e-03,2000
-4.800000e-02,2.824200e-03,2.705470e-01,-6.541900e-04,2000
-4.800000e-02,2.810600e-03,2.742060e-01,-0.000000e+00,2000
-4.800000e-02,2.766300e-03,2.817750e-01,2.231550e-03,2000
-4.800000e-02,2.740000e-03,2.831250e-01,6.294130e-04,2000
-4.800000e-02,2.665300e-03,2.877930e-01,1.660230e-03,2000
-4.800000e-02,2.636700e-03,2.804120e-01,-6.639430e-04,2000
-4.800000e-02,2.630000e-03,2.889160e-01,6.738420e-04,2000
-4.800000e-02,2.626200e-03,2.854120e-01,-0.000000e+00,2000
-4.800000e-02,2.617200e-03,2.930860e-01,4.737860e-03,2000
-4.800000e-02,2.564200e-03,2.925830e-01,1.880940e-03,2000
-4.800000e-02,2.520000e-03,2.944690e-01,7.404860e-04,2000
-4.800000e-02,2.463200e-03,2.970030e-01,2.736230e-03,2000
-4.800000e-02,2.449200e-03,2.885220e-01,-2.475720e-04,2000
-4.800000e-02,2.441800e-03,2.939420e-01,-0.000000e+00,2000
-4.800000e-02,2.410000e-03,2.997930e-01,7.997250e-04,2000
-4.800000e-02,2.398800e-03,3.044910e-01,5.343700e-03,2000
-4.800000e-02,2.362100e-03,3.009350e-01,2.891800e-03,2000
-4.800000e-02,2.300000e-03,3.048660e-01,8.737740e-04,2000
-4.800000e-02,2.261700e-03,2.967250e-01,-5.544110e-04,2000
-4.800000e-02,2.261100e-03,3.050310e-01,2.987710e-03,2000
-4.800000e-02,2.257300e-03,3.013540e-01,-0.000000e+00,2000
-4.800000e-02,2.190000e-03,3.096190e-01,8.515590e-04,2000
-4.800000e-02,2.180300e-03,3.131660e-01,5.617950e-03,2000
-4.800000e-02,2.160000e-03,3.089090e-01,3.142310e-03,2000
-4.800000e-02,2.080000e-03,3.140920e-01,8.811790e-04,2000
-4.800000e-02,2.074200e-03,3.056250e-01,-4.493800e-04,2000
-4.800000e-02,2.072900e-03,3.097670e-01,-0.000000e+00,2000
-4.800000e-02,2.058900e-03,3.123680e-01,3.157120e-03,2000
-4.800000e-02,1.970000e-03,3.185420e-01,8.515590e-04,2000
-4.800000e-02,1.961900e-03,3.209610e-01,5.453400e-03,2000
-4.800000e-02,1.957900e-03,3.164670e-01,2.725700e-03,2000
-4.800000e-02,1.888500e-03,3.183430e-01,-0.000000e+00,2000
-4.800000e-02,1.886700e-03,3.137480e-01,-5.169000e-04,2000
-4.800000e-02,1.860000e-03,3.225410e-01,8.589640e-04,2000
-4.800000e-02,1.856800e-03,3.208330e-01,2.584700e-03,2000
-4.800000e-02,1.755800e-03,3.250830e-01,2.785830e-03,2000
-4.800000e-02,1.750000e-03,3.263540e-01,8.515590e-04,2000
-4.800000e-02,1.743500e-03,3.288370e-01,5.359490e-03,2000
-4.800000e-02,1.704000e-03,3.267160e-01,-0.000000e+00,2000
-4.800000e-02,1.699200e-03,3.202120e-01,-7.697230e-04,2000
-4.800000e-02,1.654700e-03,3.304430e-01,2.882140e-03,2000
-4.800000e-02,1.640000e-03,3.300790e-01,8.293450e-04,2000
-4.800000e-02,1.553700e-03,3.339660e-01,2.618980e-03,2000
-4.800000e-02,1.530000e-03,3.333820e-01,8.663690e-04,2000
-4.800000e-02,1.525100e-03,3.361380e-01,5.465860e-03,2000
-4.800000e-02,1.519600e-03,3.330510e-01,-0.000000e+00,2000
-4.800000e-02,1.511700e-03,3.255150e-01,-6.819480e-04,2000
-4.800000e-02,1.452600e-03,3.375940e-01,2.759170e-03,2000
-4.800000e-02,1.420000e-03,3.363730e-01,9.107980e-04,2000
-4.800000e-02,1.351600e-03,3.405560e-01,2.761410e-03,2000
-4.800000e-02,1.335100e-03,3.376630e-01,-0.000000e+00,2000
-4.800000e-02,1.324200e-03,3.298560e-01,-5.289030e-04,2000
-4.800000e-02,1.320000e-03,3.393500e-01,9.996560e-04,2000
-4.800000e-02,1.306600e-03,3.416950e-01,5.429300e-03,2000
-4.800000e-02,1.250500e-03,3.428400e-01,2.764710e-03,2000
-4.800000e-02,1.210000e-03,3.421930e-01,1.118130e-03,2000
-4.800000e-02,1.150700e-03,3.414110e-01,-0.000000e+00,2000
-4.800000e-02,1.149500e-03,3.450920e-01,2.877010e-03,2000
-4.800000e-02,1.136700e-03,3.335640e-01,-5.949230e-04,2000
-4.800000e-02,1.100000e-03,3.447190e-01,1.103320e-03,2000
-4.800000e-02,1.088200e-03,3.458590e-01,6.065060e-03,2000
-4.800000e-02,1.048400e-03,3.470180e-01,3.097500e-03,2000
-4.800000e-02,9.900000e-04,3.469180e-01,1.081110e-03,2000
-4.800000e-02,9.663000e-04,3.447750e-01,-0.000000e+00,2000
-4.800000e-02,9.492000e-04,3.370200e-01,-8.387430e-04,2000
-4.800000e-02,9.474000e-04,3.488840e-01,3.212970e-03,2000
-4.800000e-02,8.800000e-04,3.488870e-01,1.132940e-03,2000
-4.800000e-02,8.698000e-04,3.493700e-01,6.111590e-03,2000
-4.800000e-02,8.463000e-04,3.505080e-01,3.364480e-03,2000
-4.800000e-02,7.818000e-04,3.482380e-01,-0.000000e+00,2000
-4.800000e-02,7.700000e-04,3.506720e-01,1.081110e-03,2000
-4.800000e-02,7.617000e-04,3.402790e-01,-7.254600e-04,2000
-4.800000e-02,7.453000e-04,3.517650e-01,2.992230e-03,2000
-4.800000e-02,6.600000e-04,3.522790e-01,1.081110e-03,2000
-4.800000e-02,6.513000e-04,3.520730e-01,5.637890e-03,2000
-4.800000e-02,6.442000e-04,3.529620e-01,2.630630e-03,2000
-4.800000e-02,5.974000e-04,3.511810e-01,-0.000000e+00,2000
-4.800000e-02,5.742000e-04,3.429300e-01,-3.420990e-04,2000
-4.800000e-02,5.500000e-04,3.536710e-01,1.044090e-03,2000
-4.800000e-02,5.432000e-04,3.538690e-01,2.815840e-03,2000
-4.800000e-02,4.421000e-04,3.546770e-01,2.742760e-03,2000
-4.800000e-02,4.400000e-04,3.547450e-01,9.626320e-04,2000
-4.800000e-02,4.329000e-04,3.538380e-01,5.278040e-03,2000
-4.800000e-02,4.130000e-04,3.533950e-01,-0.000000e+00,2000
-4.800000e-02,3.867000e-04,3.446160e-01,-7.089560e-04,2000
-4.800000e-02,3.411000e-04,3.554890e-01,2.509190e-03,2000
-4.800000e-02,3.300000e-04,3.553960e-01,9.478220e-04,2000
-4.800000e-02,2.400000e-04,3.559390e-01,2.533970e-03,2000
-4.800000e-02,2.285000e-04,3.548320e-01,-0.000000e+00,2000
