x,r,u_x,u_r,Re
-4.800000e-02,6.436700e-03,0.000000e+00,-0.000000e+00,500
-4.800000e-02,6.415000e-03,0.000000e+00,-0.000000e+00,500
-4.800000e-02,6.350500e-03,0.000000e+00,-0.000000e+00,500
-4.800000e-02,6.249200e-03,0.000000e+00,-0.000000e+00,500
-4.800000e-02,6.230500e-03,0.000000e+00,-0.000000e+00,500
-4.800000e-02,6.132100e-03,0.000000e+00,-0.000000e+00,500
-4.800000e-02,6.101100e-03,0.000000e+00,-0.000000e+00,500
-4.800000e-02,6.061700e-03,1.364650e-03,7.127070e-05,500
-4.800000e-02,6.046100e-03,0.000000e+00,-0.000000e+00,500
-4.800000e-02,6.020000e-03,0.000000e+00,-1.190940e-04,500
-4.800000e-02,6.000000e-03,1.120560e-03,5.796650e-04,500
-4.800000e-02,5.913700e-03,2.375990e-03,2.061020e-04,500
-4.800000e-02,5.910000e-03,3.364410e-03,2.977350e-05,500
-4.800000e-02,5.898900e-03,2.508990e-03,9.736260e-04,500
-4.800000e-02,5.874200e-03,4.954440e-03,-3.375980e-05,500
-4.800000e-02,5.861700e-03,4.522410e-03,-0.000000e+00,500
-4.800000e-02,5.800000e-03,5.322020e-03,-0.000000e+00,500
-4.800000e-02,5.797900e-03,4.257700e-03,1.077830e-03,500
-4.800000e-02,5.696800e-03,7.506550e-03,6.490120e-04,500
-4.800000e-02,5.695200e-03,8.756850e-03,-9.972690e-05,500
-4.800000e-02,5.690000e-03,8.150500e-03,-1.488680e-05,500
-4.800000e-02,5.686700e-03,9.788090e-03,1.725500e-05,500
-4.800000e-02,5.677200e-03,9.403810e-03,-0.000000e+00,500
-4.800000e-02,5.595800e-03,1.031480e-02,-3.049670e-05,500
-4.800000e-02,5.580000e-03,1.103850e-02,-7.443380e-06,500
-4.800000e-02,5.499200e-03,1.480180e-02,9.002610e-05,500
-4.800000e-02,5.494700e-03,1.289150e-02,-2.221040e-05,500
-4.800000e-02,5.492800e-03,1.481280e-02,-0.000000e+00,500
-4.800000e-02,5.476800e-03,1.492410e-02,-3.158020e-05,500
